Make,Model,Seats,Fuselage Width,Fuselage Length,Footprint,Skin Surface Area (sq ft),Maintenance Wash Hours,Decon Paint Hours,One Step Polish Hours,Fly Shiny Static Guard Wax Hours,Fly Shiny Air Gaurd Spray Ceramic Hours,Fly Shiny Pro Ceramic Coating Hours,Clean/Condition Leather Hours,Extract Carpets Hours,Bronze Package Hours,Silver Package Hours,Gold Package Hours,Platinum Package Hours,Shiny Jet Package Hours
Engstrom,Enstrom F‑28F,7,8.5,35,297.5,"e1,100",7.50,6.00,6.94,9.94,13.22,17.89,1.94,1.11,,,,,
Engstrom,Enstrom 280FX,7,6,33.5,201,"e1,050",5.08,4.11,4.72,6.72,8.94,16.56,1.94,1.11,,,,,
Engstrom,Enstrom 480,9,5.6,33.2,185.92,"e1,000",4.67,3.78,4.39,6.22,8.28,16.56,2.50,1.11,,,,,
Embraer,Phenom 100,5,,42.1,1700.84,"e1,580",5.00,6.11,22.22,7.78,,27.22,2.22,1.67,,20.00,,,
Embraer,Phenom 300,6,,52.2,2777.04,"e2,300",8.33,10.00,35.56,12.78,,44.44,2.78,1.67,,28.89,,,
Embraer,Legacy 500,12,,68.1,4303.92,"e3,600",12.50,14.44,55.00,19.44,,68.89,5.56,2.22,,42.78,,,
Embraer,Legacy 450,9,,64.7,4089.04,"e3,400",12.50,14.44,52.78,18.33,,65.56,4.44,2.22,,40.56,,,
Embraer,Praetor 600,12,,68.1,4807.86,"e3,900",14.17,16.67,61.67,21.67,,77.22,5.56,2.22,,47.22,,,
Embraer,Praetor 500,9,,64.7,4567.82,"e3,700",13.33,15.56,58.89,20.56,,73.33,4.44,2.22,,44.44,,,
Embraer,Legacy 650/600-ERJ145/ERJ135,14,,86.5,6011.75,"e5,200",17.50,20.56,77.22,27.22,,96.11,6.67,2.78,,56.11,,,
Embraer,E170,,,98.1,8377.74,"e10,500",24.17,28.33,107.22,37.78,,133.89,,3.33,,67.22,,,
Embraer,E175,,,103.7,8855.98,"e11,200",25.83,30.00,113.33,40.00,,141.67,,3.33,,70.56,,,
Embraer,E190,,,118.7,11193.41,"e12,800",32.50,37.78,143.33,50.56,,178.89,,3.89,,86.67,,,
Embraer,Lineage 1000,19,,119,11221.7,"e13,000",32.50,37.78,143.89,50.56,,179.44,8.89,3.89,,95.56,,,
Embraer,E195,,,126.7,11947.81,"e13,600",35.00,40.56,152.78,53.89,,191.11,,3.89,,91.67,,,
Eurocopter,AS355 Ecureuil 2 (Squirrel),5,8.3,36,298.8,"e1,620",7.50,6.00,14.94,4.17,13.28,26.56,1.39,1.00,,,,,
Eurocopter,EC120 Colibri B,5,8.5,31.5,267.75,"e1,300",6.75,5.44,13.39,3.72,11.90,23.80,1.39,0.89,,,,,
Eurocopter,AS350 Ecureuil (Squirrel),5,5.4,35.8,193.32,"e1,580",4.83,3.89,9.67,2.72,8.59,17.18,1.39,1.00,,,,,
Eurocopter,AS550 Fennec ,6,8.3,35.8,297.14,,7.50,6.00,14.89,4.17,13.21,26.41,1.67,1.00,,,,,
Eurocopter,AS555 Fennec 2,6,8.3,35.8,297.14,"e1,700",7.50,6.00,14.89,4.17,13.21,26.41,1.67,1.00,,,,,
Eurocopter,EC130,6,10,35,350,"e1,820",8.75,7.00,17.50,4.89,15.56,31.11,1.67,1.00,,,,,
Eurocopter,EC135,7,8.7,33.5,291.45,"e1,820",7.33,5.89,14.61,4.06,12.95,25.91,0.97,0.94,,,,,
Eurocopter,EC635,8,8.7,33.5,291.45,"e1,820",7.33,5.89,14.61,4.06,12.95,25.91,0.97,0.94,,,,,
Eurocopter,EC145,12,5.6,33.2,185.92,"e1,000",4.67,3.78,9.33,2.61,8.26,16.53,3.33,0.94,,,,,
Eurocopter,AS365 Dauphin,11,7.9,45.1,356.29,"e2,800",8.92,7.17,17.83,5.00,15.84,31.67,3.06,1.28,,,,,
Eurocopter,AS565 Panther,12,7.9,45.1,356.29,"e2,800",8.92,7.17,17.83,5.00,15.84,31.67,3.33,1.28,,,,,
Eurocopter,EC155   ,16,6.7,46.2,309.54,,7.75,6.22,15.50,4.33,13.76,27.51,4.44,1.33,,,,,
Eurocopter,EC175,18,11,47,517,"e3,500",13.00,10.44,25.89,7.22,22.98,45.96,1.22,1.33,,,,,
Eurocopter,AS332 Super Puma,16,11.5,61.4,706.1,"e5,200",17.67,14.17,35.33,9.83,31.38,62.76,1.28,1.72,,,,,
Eurocopter,AS532 Cougar,22,11.5,61.4,706.1,"e5,200",17.67,17.67,35.33,9.83,3.14,9.81,44.17,1.72,,,,,
Eurocopter,EC225 Super Puma,26,11,46.2,508.2,"e4,800",12.75,12.75,25.44,7.11,2.26,7.06,31.88,1.33,,,,,
Eurocopter,EC725 Caracal,31,11.5,60,690,"e5,000",17.25,17.25,34.50,9.61,3.07,9.58,43.12,1.67,,,,,
Eurocopter,EC665 Tiger,5,5.6,43,240.8,"e2,900",6.08,6.08,12.06,3.39,1.07,3.34,15.21,1.22,,,,,
Gulfstream,G280/200,12,,67,4221,"e3,200",10.83,11.11,47.22,,,,5.33,1.83,,,,,
Gulfstream,G4,15,,88.4,6806.8,"e4,800",17.50,17.78,76.11,,,,6.67,2.39,,,,,
Gulfstream,G450/350,12,,89.4,6892.74,"e5,100",17.50,17.78,76.67,,,,5.33,2.39,,,,,
Gulfstream,G550/5,15,,96.4,9008.58,"e6,000",23.33,23.33,100.56,,,,6.67,2.61,,,,,
Gulfstream,G650,15,,99,9870.3,"e6,500",25.00,25.00,110.00,,,,6.67,2.67,,,,,
Gulfstream,G700,15,,109,11227,"e7,200",28.33,28.33,125.00,,,,6.67,2.94,,,,,
Gulfstream,G800,15,,99,10197,"e7,000",25.83,26.11,113.33,,,,6.67,2.67,,,,,
Gumbial,Cabri G2,2,4.07,26.41,107.4887,e800,2.75,2.22,0.72,3.58,4.78,9.55,0.56,0.78,,,,,
Hawker,,8,,51.2,2636.8,"e2,100",8.33,10.00,29.44,,,42.22,3.56,1.39,,,,,
Hawker,1000,8,,50.6,2378.2,"e2,000",7.50,8.89,26.67,,,38.33,3.56,1.39,,,,,
Hawker,4000,8,,69.2,4283.48,"e3,400",12.50,14.44,47.78,,,68.89,3.56,1.89,,,,,
Honda,HA420,7,,42.7,1703.73,"e1,600",5.00,5.75,22.22,7.78,,23.89,3.11,1.39,,,,,
MD Helicopters,500E,2,4.57,,109.1316,e840,2.75,2.22,5.50,3.67,4.89,9.72,0.56,1.11,,,,,
MD Helicopters,530F,4,4.57,,147.154,e900,3.75,3.00,7.39,4.94,6.56,13.11,1.11,1.11,,,,,
MD Helicopters,520N,4,4.6,,133.4,e870,3.42,2.78,6.72,4.50,5.94,11.89,1.11,1.11,,,,,
MD Helicopters,600N,8,4.6,,136.16,e900,3.42,2.78,6.83,4.56,6.06,12.11,2.22,1.11,,,,,
MD Helicopters,902 Explorer,2,9.33,,379.731,"e2,200",9.50,7.61,19.00,12.67,16.89,33.78,0.56,1.67,,,,,
MD Helicopters,969 Twin Attack,8,4.6,,147.2,e900,3.75,3.00,7.39,4.94,6.56,13.11,2.22,1.11,,,,,
Mooney,M20J/201,4,,24.25,848.75,e710,2.50,2.89,6.67,,,13.89,1.33,1.11,,,,,
Mooney,M20K/231,4,,24.67,890.0936,e730,2.50,2.89,7.22,,,14.44,1.33,1.11,,,,,
Piper,Cherokee PA-28,4,,23.36,700.8,e620,0.92,1.11,5.00,2.78,,,1.11,1.11,,6.11,,,
Piper,J3-J5 Cub,2,,22.6,804.56,e580,1.08,1.11,5.56,3.33,,,0.56,1.11,,6.11,,,
Piper,Commanche PA-24,5,,25,900,e760,1.67,1.67,6.11,3.33,,,1.39,1.11,,7.78,,,
Piper,Commanche PA-30,6,,25.2,931.14,e790,1.67,1.67,6.67,3.33,,,1.67,1.11,,7.78,,,
